"id";"title";"DE";"link"
36;"日期处理库";"JavaScript日期库";"https://www.ctolib.com/categories/javascript-date-libraries.html"
37;"时间轴";"JavaScript时间轴";"https://www.ctolib.com/categories/javascript-timeline.html"
38;"构建工具";"前端工程构建系统";"https://www.ctolib.com/categories/javascript-build-tools.html"
39;"框架";"JavaScript框架";"https://www.ctolib.com/categories/javascript-frameworks.html"
40;"模态框和弹出框";"模态框和弹出框 Lightbox";"https://www.ctolib.com/categories/javascript-modals-and-popups.html"
41;"模板引擎";"JavaScript模板引擎";"https://www.ctolib.com/categories/javascript-templating-engines.html"
42;"正则表达式";"JavaScript正则表达式";"https://www.ctolib.com/categories/javascript-regexp.html"
43;"测试相关";"包含框架、断言、覆盖率、运行器、QA工具";"https://www.ctolib.com/categories/javascript-testing-frameworks.html"
44;"消息通知";"JavaScript 消息通知库";"https://www.ctolib.com/categories/javascript-notifications.html"
45;"混合移动开发";"混合移动开发";"https://www.ctolib.com/categories/javascript-web-mobile.html"
46;"游戏开发";"Web游戏开发";"https://www.ctolib.com/categories/javascript-game-development.html"
47;"移动端组件库";"移动端组件库,HTML5组件库";"https://www.ctolib.com/categories/javascript-mobile-ui.html"
48;"编辑器";"各种基于JavaScript的编辑器";"https://www.ctolib.com/categories/javascript-editors.html"
49;"网页滚动";"网页滚动";"https://www.ctolib.com/categories/javascript-scroll.html"
50;"脚手架/样板";"脚手架/样板";"https://www.ctolib.com/categories/javascript-boilerplates.html"
51;"范围选择控件";"范围选择控件Range Sliders";"https://www.ctolib.com/categories/javascript-range-sliders.html"
52;"菜单和导航";"菜单和导航";"https://www.ctolib.com/categories/javascript-menu.html"
53;"表单Select控件";"表单Select控件";"https://www.ctolib.com/categories/javascript-select.html"
54;"表单日历控件";"表单日历控件";"https://www.ctolib.com/categories/javascript-calendar.html"
55;"表单输入控件";"JavaScript表单输入控件";"https://www.ctolib.com/categories/javascript-form-input-widgets.html"
56;"表单验证";"JavaScript表单验证";"https://www.ctolib.com/categories/javascript-validation.html"
57;"表格/网格";"表格/网格";"https://www.ctolib.com/categories/javascript-table-grid.html"
58;"视频/音频处理";"JavaScript视频/音频处理相关";"https://www.ctolib.com/categories/javascript-video-audio.html"
59;"输入自动补全";"JavaScript输入自动补全autocomplete";"https://www.ctolib.com/categories/javascript-autocomplete.html"
60;"选项卡插件";"选项卡插件Tab";"https://www.ctolib.com/categories/javascript-tabs.html"
61;"键盘操作封装";"键盘操作JavaScript封装";"https://www.ctolib.com/categories/javascript-keyboard-wrappers.html"
62;"颜色操作";"JavaScript颜色操作库";"https://www.ctolib.com/categories/javascript-color.html"
